Borough,FIPS County Code,Code,Name,Total Population,Under 5 Years,5-9      Years,10-14 Years,15-19 Years,20-24 Years,25-29 Years,30-34 Years,35-39 Years,40-44 Years,45-49 Years,50-54 Years,55-59 Years,60-64 Years,65 Years and Over,Median Age
Bronx,5,BX01,Claremont-Bathgate,31078,2890,2816,2769,3113,2658,2325,2012,1836,2078,2095,1830,1293,1070,2293,27.8
Bronx,5,BX03,Eastchester-Edenwald-Baychester,34517,2225,2436,2568,3194,2684,2344,2064,2016,2413,2724,2398,2018,1755,3678,34.4
Bronx,5,BX05,Bedford Park-Fordham North,54415,4517,4183,4058,4623,4693,4663,4262,3854,3830,3786,3490,2724,2029,3703,30.5
Bronx,5,BX06,Belmont,27378,2076,2073,1969,3458,3937,2157,1846,1761,1580,1622,1229,966,756,1948,25.4
Bronx,5,BX07,Bronxdale,35538,2458,2311,2404,2600,2629,2953,2636,2389,2491,2546,2364,1960,1575,4222,34.6
Bronx,5,BX08,West Farms-Bronx River,35011,2751,2635,2561,3049,2954,2883,2578,2387,2326,2415,2121,1677,1361,3313,31.1
Bronx,5,BX09,Soundview-Castle Hill-Clason Point-Harding Park,53686,3492,3761,4304,5123,4187,3358,3188,3294,3687,3762,3384,2916,2825,6405,34
Bronx,5,BX10,Pelham Bay-Country Club-City Island,26583,1361,1247,1376,1307,1451,1809,1929,1737,1886,2020,1963,1775,1663,5059,42.9
Bronx,5,BX13,Co-Op City,43752,2027,2018,2470,2744,2451,2156,2297,2481,2969,3493,3302,3078,2929,9337,45.4
Bronx,5,BX14,East Concourse-Concourse Village,62284,5160,4703,4657,5267,4944,4454,4332,4108,4271,4333,3758,3212,2618,6467,32.2
Bronx,5,BX17,East Tremont,43423,3753,3702,3836,4366,3516,3138,2807,2675,3005,2870,2549,1913,1594,3699,29
Bronx,5,BX22,North Riverdale-Fieldston-Riverdale,27860,1562,1216,1080,1867,1950,1512,1676,1640,1626,1627,1795,1892,1791,6626,44.3
Bronx,5,BX26,Highbridge,37727,3251,3091,3012,3367,3103,2909,2751,2515,2732,2780,2303,1785,1434,2694,30.2
Bronx,5,BX27,Hunts Point,27204,2270,2190,2262,2482,2525,2176,1924,1778,1810,1827,1521,1224,989,2226,29.3
Bronx,5,BX28,Van Cortlandt Village,50100,3583,3176,3315,3987,4029,3991,3592,3314,3519,3675,3291,2995,2333,5300,34.1
